name,totalCash,ebitda,totalDebt,totalRevenue,totalEsg
MKC,343900000,1136899968,5392600064,6385099776,26.53
BG,1046000000,2935000064,6135000064,67255001088,34.44
CPB,109000000,1595000064,5049999872,8561999872,22.56
TSN,1056000000,7098999808,8328000000,52356001792,36.67
SJM,151600000,1548800000,4811200000,8013899776,30.92
CHD,639699968,1170499968,2982599936,5302400000,19.66
TAP,442100000,1839000064,6946800128,10578199552,21.47
COTY,240900000,856300032,4795599872,5304399872,32.7
INGR,322000000,917000000,2391000064,7454000128,28.55
EDU,4190957056,-352384000,680411008,3105245952,15.66
NWL,323000000,1390000000,5878000128,10513999872,14.35
HLF,581800000,707800000,3046200064,5477400064,30.49
EOG,3072999936,11370000384,5306999808,26659999744,36.25
MPC,13319000064,15813999616,28043999232,160240992256,28.7
HES,2384000000,5225999872,9070000128,10378000384,31.91
OKE,159996992,3265833984,13877478400,21397995520,23.98
TRGP,154000000,2412999936,7460800000,20916000768,33.98
RRC,157144000,2035748992,2397282048,4759960064,33.07
HP,332993984,271088992,542289984,1771419008,23.8
WFRD,933000000,687000000,2380000000,4087000064,22.75
CB,6662000128,5878000128,17453000704,40241000448,23.85
BLK,6207000064,7407000064,8455000064,18641999872,20.57
SPGI,3571000064,4720000000,11548999680,9557999616,14.31
MMC,802000000,5705999872,13283999744,20835000320,19.45
PGR,4237600000,1899900032,6387400192,48608600064,20.87
CME,2221400064,3303399936,3436300032,4948499968,14.59
ICE,830000000,4552000000,18379999232,7354999808,16.34
MCO,1744999936,2438000128,8206000128,5717000192,10.59
AJG,553699968,2193299968,6549499904,8259999744,21.75
AMP,7818999808,4286000128,3023000064,14435999744,22.61
NDAQ,430000000,1959000064,5827999744,6111000064,11.93
ACGL,2754439936,1279622016,2725153024,8855909376,21.2
TROW,2116000000,3662899968,307000000,7291800064,17.05
HIG,2782000128,3470000128,4375000064,22230999040,16.17
WRB,2458606080,1706286976,3048242944,10730925056,21.95
PFG,3675200000,5649200128,4803200000,17283500032,17.22
MKL,5754387968,565961984,4502237184,10843901952,29.52
CINF,1098000000,784000000,885000000,7143000064,25.62
BRO,590700032,1088546944,4299299840,3408498944,21.36
ERIE,147474000,391440512,40000000,2722022912,26.95
L,5288000000,2383000064,9281999872,13822000128,16.48
BEN,3806299904,2472499968,3937499904,8517300224,18.18
AFG,996000000,1486000000,1676999936,6472000000,29.09
CNA,1674000000,1431000064,2780000000,11824000000,28.48
FNF,4428000256,3527000064,3523000064,14494999552,23.94
RGA,2828000000,509500000,3819000064,16218999808,22.48
UNM,1487500032,1689299968,3473100032,11972200448,20.03
RNR,19614855168,-926628992,1173511936,4771969024,26.28
IVZ,1023600000,1729799936,1487100032,6368900096,20.42
SEIC,791436992,577302016,29563000,2036097024,18.96
AIZ,1361500032,918499968,2128800000,10205100032,24.59
VOYA,1196999936,998499968,3907000064,6442999808,24.86
AMG,673400000,1005800000,2793600000,2478400000,20.72
WU,1201900032,1343900032,2695300096,4865099776,13.72
LNC,5566000128,1422000000,7395999744,19634999296,16.91
AXS,1290580992,298424992,1415977984,5081005056,22.91
TMO,2919000064,12353999872,29159999488,44167000064,13.52
ELV,35901001728,10142999552,23953999872,153251004416,11.48
CI,5175000064,10227000320,33930999808,179182993408,11.65
JAZZ,771265024,1506422016,6114341888,3481445120,26.48
DVA,363094016,2296616960,12267238400,11626598400,22.72
XRAY,374000000,917000000,2376000000,4188999936,16.03
ALKS,580966976,803000,410312992,1173368064,25.79
BHC,659000000,3040000000,21813999616,8192000000,32.96
ITW,774000000,4073999872,7628000256,15640000512,19.6
TRI,636000000,1716999936,4068000000,6524000256,9.17
TT,1090200064,2407600128,4836499968,14835000320,16.12
ROP,1894499968,2348600064,6659500032,6141499904,22.9
RSG,119400000,3597900032,12296500224,12270499840,21.33
AME,348652992,1722955008,2676724992,5917502976,24.08
WCN,220356000,2061345024,5831933952,6684176896,19.95
ROK,489100000,1369900032,4432399872,7441900032,19.68
TDG,3811000064,2368000000,19901999104,5198000128,38.98
URI,76000000,3552000000,10540000256,11121999872,18.45
EFX,241700000,1691200000,5882100224,5177500160,25.76
GPN,1933638016,3592250112,12633877504,8833477632,19.18
CNHI,2569999872,3536000000,21183000576,34885001216,16.61
JBHT,84334000,1986075008,1589821056,14661348352,14.32
WAB,501000000,1475000064,4513999872,7954999808,23.25
DOV,306001984,1647888000,3631522048,8358141952,25.09
PWR,150652992,1290370944,4136877056,15474343936,35.02
XYL,1112999936,785000000,2471000064,5224000000,15.95
EXPD,1976971008,2221786880,502924992,18983213056,15.78
IEX,726000000,859600000,1299100032,3086000128,27.05
BAH,497828000,938963968,3069146112,8624234496,16.49
AER,1325307008,2724567040,48094597120,5868888064,20.34
NDSN,128737000,737038976,926897024,2505944064,26.66
J,1102284032,1527069056,4379145216,14628264960,22.37
AVY,128200000,1381500032,3132800000,9196600320,15.35
ACM,1010721984,862451008,2968567040,13075835904,26.19
TTC,231564000,608518016,1132211968,4303332864,21.44
SNA,759200000,1319500032,1259699968,4793500160,30.79
HUBB,379400000,813200000,1441299968,4828400128,25.29
GGG,414827008,615489024,139799008,2128094976,31.91
ARMK,442684992,1191522944,8551502848,15487430656,26.47
CHRW,238924992,1475206016,2622060032,26379970560,20.17
UHAL,3133229056,2346480128,6304841216,5864731136,22.92
ALLE,282200000,632800000,2227099904,3119600128,23.59
AOS,459400000,732000000,331100000,3853700096,24.2
LECO,152796000,655614976,883547008,3545742080,22.57
LII,62700000,677100032,1902499968,4404400128,21.87
RHI,590908992,1049555968,250591008,7281033216,9.26
MIDD,168036992,776614016,2719760896,3692238080,30.96
DCI,193300000,541400000,692800000,3306599936,33.18
AYI,223200000,604499968,513000000,4006099968,21.0
FLR,2193999872,339500000,1160999936,11825879040,32.38
SRCL,45900000,387200000,2071399936,2650200064,25.41
MSM,43537000,545638016,860768000,3691892992,17.93
MAN,527500000,762400000,1113100032,20400599040,9.95
FLS,458344992,300083008,1473675008,3488854016,25.94
SPR,770200000,63500000,3854000128,4482699776,32.44
EQIX,1891310976,2461144064,16328885248,6557643776,11.79
PLD,636281984,4173039104,18139299840,5913782784,8.51
PSA,1013886016,2814520064,7340903936,3910157056,12.3
SPG,541240000,3706455040,25388408832,5196355072,14.21
SBAC,183067008,1588640000,14784181248,2456344064,11.58
EQR,44788000,1637086976,7807738880,2680606976,11.09
CBRE,1125010944,2337412096,4237189888,31183974400,6.99
ARE,533824000,1498679040,10934878208,2499095040,14.78
DLR,176968992,2137593984,17122221056,4512797184,13.02
AVB,173640000,1498929024,8167711744,2455747072,10.53
VTR,127073000,1581080064,12522381312,4018578944,12.75
EXR,90065000,1252521984,6626032128,1794791936,13.94
UDR,1532000,894553024,5816425984,1480583936,12.31
PEAK,74642000,1037753984,6654874112,1980973952,9.73
ESS,53569000,1082488064,6235043840,1641636992,12.8
GLPI,59026000,1145085952,6362228224,1273632000,17.59
IRM,144746000,1643239040,12713230336,4827315200,14.58
WPC,104098000,1234029952,6765627904,1365132032,16.37
HST,699000000,1196000000,4784000000,4297999872,13.78
CPT,72095000,749475968,3746449920,1294412032,15.87
BXP,375774016,1783675008,14285971456,3027078912,12.43
REG,122012000,839171008,3952179968,1272066048,10.88
BPYPP,2175000064,5265999872,54778998784,8931000320,22.41
LAMR,91686000,858867008,4451225088,1945192960,16.54
FRT,180455008,631694976,4174195968,1027772992,12.42
JLL,568000000,1581100032,3655800064,12593300480,7.47
BRX,19624000,761064000,5190740992,1190264064,12.23
VNO,1062436992,850683008,9171511296,1843747968,12.98
DEI,449964000,585596032,5200521216,959206016,18.05
SITC,20883000,403092000,1859394944,614486976,15.77
MAC,106384000,430956992,4663293952,837612992,11.86
SVC,635203968,474108992,6449650176,1768014976,20.14
AIV,133085000,66291000,1283981056,191278000,18.66
VMW,3241999872,2937999872,12256000000,13143000064,15.35
APH,1252000000,2938299904,4753200128,12410600448,21.58
MSI,717000000,2236000000,6415000064,8458999808,13.75
FIS,1944000000,4158000128,18545000448,14387999744,18.08
IT,360472992,1188072960,3202151936,5101865984,21.78
CDW,541600000,1864300032,7219299840,22931800064,9.14
KEYS,1847000064,1578000000,2024000000,5271000064,9.42
VRSN,996899968,952342976,1786800000,1373376000,21.35
FTV,705299968,1432600064,3558899968,5672099840,35.01
BR,225300000,1223900032,4066200064,5709100032,16.49
CHKP,1614300032,903299968,0,2290500096,23.08
